Student_ID,Sleep_Hours,Coffee_Cups,Study_Hours,Exam_Score
80,5.2,2.0,3.1,67.1
81,7.7,1.0,2.2,62.0
82,7.3,1.0,3.9,79.5
83,7.0,2.0,4.1,78.2
84,5.5,3.0,6.4,93.3
85,4.6,3.0,6.6,88.5
86,5.9,2.0,4.7,71.8
87,7.5,2.0,4.2,83.2
88,6.7,3.0,6.4,80.8
89,5.5,3.0,7.2,86.7
90,5.5,2.0,5.7,74.7
91,5.8,3.0,6.6,87.5
92,5.0,3.0,7.6,95.7
93,8.8,0.0,1.3,55.3
94,5.5,2.0,7.1,88.4
95,7.1,1.0,2.9,49.9
96,7.0,1.0,4.3,72.0
97,4.8,3.0,6.6,92.1
98,6.7,3.0,6.0,82.2
99,8.9,0.0,2.0,53.2
100,5.3,2.0,5.6,82.6
101,8.6,1.0,1.5,59.1
102,6.5,2.0,3.5,64.1
103,6.5,3.0,6.7,78.4
104,7.7,2.0,4.0,64.6
105,6.2,2.0,5.2,75.4
106,6.7,2.0,6.1,71.9
107,5.3,3.0,6.7,91.5
108,5.3,4.0,6.3,79.5
109,8.0,1.0,1.1,50.8
110,6.9,2.0,3.9,68.5
111,6.6,2.0,4.2,67.5
112,8.4,0.0,1.4,59.6
113,6.1,2.0,4.8,70.2
114,7.0,2.0,5.3,73.1
115,6.4,3.0,6.8,89.4
116,4.8,4.0,7.6,98.2
117,6.9,0.0,1.9,53.3
118,8.3,1.0,2.6,52.3
119,7.1,3.0,5.6,83.4
120,7.9,1.0,1.9,56.9
121,6.7,1.0,2.6,70.7
122,6.7,2.0,5.0,73.7
123,9.0,1.0,2.2,56.7
124,4.2,2.0,6.5,82.1
125,5.9,3.0,7.0,80.1
126,8.1,1.0,1.2,48.9
127,6.0,2.0,4.7,78.0
128,6.1,3.0,6.6,80.1
129,4.1,3.0,7.8,90.6
130,7.8,1.0,2.9,53.3
131,9.0,1.0,2.2,63.4
132,5.6,2.0,7.1,85.9
133,4.6,3.0,7.4,95.3
134,6.4,1.0,2.4,51.6
135,5.9,2.0,4.1,69.2
136,4.5,2.0,6.0,78.2
137,6.8,3.0,6.9,74.2
138,7.7,1.0,2.2,55.9
139,5.3,3.0,5.7,83.1
140,4.6,2.0,6.7,74.4
141,5.7,3.0,4.8,72.6
142,7.6,1.0,2.2,52.8
143,7.4,0.0,1.2,41.9
144,8.8,0.0,3.0,59.5
145,5.1,3.0,6.7,75.3
146,7.7,0.0,1.3,50.6
147,8.7,1.0,1.1,54.8
148,8.4,2.0,3.5,56.9
149,9.0,0.0,1.4,49.4
150,7.6,1.0,2.0,62.6
151,8.6,1.0,1.2,49.1
152,6.8,2.0,4.7,69.8
153,6.5,3.0,5.9,75.8
154,7.2,2.0,4.0,69.1
155,7.3,1.0,1.9,52.5
156,6.3,1.0,3.3,66.9
157,6.6,3.0,5.1,66.6
158,4.3,3.0,7.6,99.7
159,6.1,3.0,7.9,92.9
160,7.7,1.0,2.7,62.8
161,7.6,1.0,1.1,43.4
162,5.3,2.0,6.8,79.8
163,4.8,3.0,7.5,89.1
164,6.8,1.0,4.2,63.7
165,6.6,2.0,6.4,82.6
166,4.3,3.0,7.1,93.6
167,4.9,1.0,5.3,83.6
168,5.7,2.0,7.1,90.9
169,8.3,0.0,1.2,45.2
170,7.7,1.0,2.9,57.6
171,7.9,1.0,2.9,63.9
172,8.0,0.0,1.8,59.4
173,5.9,2.0,7.4,89.9
174,7.7,1.0,1.2,47.6
175,6.2,2.0,5.7,75.4
176,7.6,1.0,1.5,51.7
177,6.3,2.0,3.5,70.2
178,7.5,1.0,3.9,49.9
179,8.3,1.0,2.3,57.6
180,5.1,2.0,4.6,68.9
181,5.8,1.0,4.7,58.9
182,7.6,1.0,3.2,64.3
183,6.8,2.0,6.2,82.9
184,7.4,1.0,2.1,56.9
185,7.7,1.0,2.3,47.9
186,6.1,1.0,3.5,77.3
187,9.0,1.0,3.6,65.9
188,8.2,1.0,2.4,54.7
189,6.0,4.0,7.4,100.0
190,6.1,2.0,6.8,91.5
191,8.9,1.0,1.7,56.9
192,7.7,1.0,3.6,72.2
193,7.4,2.0,2.6,45.8
194,7.5,1.0,4.2,79.4
195,7.6,1.0,2.9,58.2
196,7.8,2.0,4.5,73.2
197,4.7,4.0,7.5,98.0
198,6.7,1.0,3.7,61.6
199,6.7,1.0,5.6,81.1
200,7.4,2.0,5.2,81.0
201,6.0,2.0,6.3,83.8
202,7.7,0.0,1.4,52.8
203,5.8,2.0,6.2,73.8
204,4.8,2.0,7.6,86.0
205,7.9,1.0,5.2,69.5
206,8.2,1.0,3.0,63.2
207,7.2,2.0,5.7,100.0
208,6.2,2.0,6.0,83.6
209,5.8,2.0,5.6,78.3
210,8.9,0.0,2.0,53.6
211,6.4,3.0,7.8,100.0
212,5.6,4.0,7.7,98.2
213,7.0,2.0,4.0,61.1
214,7.3,2.0,5.2,82.5
215,8.1,1.0,1.3,49.0
216,5.7,4.0,7.9,100.0
217,5.1,3.0,6.7,74.9
218,5.5,3.0,5.5,69.2
219,6.3,2.0,6.3,87.7
220,8.1,1.0,2.3,45.3
221,8.9,2.0,3.2,64.7
222,7.4,2.0,2.7,60.9
223,6.4,3.0,5.2,77.3
224,7.3,0.0,1.6,53.3
225,3.9,3.0,7.3,92.7
226,5.5,0.0,4.2,72.1
227,7.3,2.0,4.1,66.3
228,7.2,1.0,1.7,51.8
229,7.0,2.0,5.8,98.2
230,6.8,3.0,6.7,93.7
231,6.1,3.0,5.4,81.5
232,9.0,1.0,2.7,61.3
233,5.9,3.0,6.5,81.1
234,8.9,1.0,2.0,55.4
235,5.4,3.0,6.8,86.1
236,7.2,2.0,5.1,81.4
237,6.7,1.0,3.0,55.5
238,7.2,1.0,4.6,58.0
239,5.9,3.0,5.4,74.4
240,7.5,1.0,2.8,63.8
241,6.1,3.0,6.9,100.0
242,7.2,2.0,3.9,73.5
243,5.3,3.0,7.2,84.5
244,6.2,2.0,6.8,86.3
245,8.8,1.0,1.7,46.2
246,5.1,2.0,5.5,77.4
247,7.8,1.0,3.2,57.0
248,6.4,3.0,6.3,74.2
249,6.0,1.0,4.8,76.3
250,7.2,1.0,4.2,70.6
251,4.3,3.0,7.3,90.1
252,9.0,1.0,1.4,51.9
253,6.4,2.0,4.9,86.5
254,7.3,2.0,3.3,63.8
255,9.0,0.0,1.2,46.1
256,5.7,3.0,6.3,89.3
257,7.0,1.0,4.9,64.4
258,4.5,3.0,7.3,95.6
259,5.9,3.0,5.2,71.8
260,6.2,2.0,3.4,58.9
261,4.9,3.0,7.9,96.0
262,8.9,1.0,1.8,62.6
263,8.5,1.0,1.4,45.3
264,6.7,2.0,6.1,88.4
265,6.4,2.0,3.6,67.5
266,6.5,1.0,3.5,56.2
267,5.1,4.0,7.1,95.2
268,7.8,2.0,3.3,58.1
269,5.7,3.0,7.2,81.6
270,6.2,2.0,5.5,73.8
271,7.8,1.0,3.3,58.7
272,8.2,1.0,1.4,53.4
273,7.6,1.0,2.7,54.5
274,6.1,3.0,7.8,100.0
275,6.6,1.0,3.8,67.9
276,8.1,1.0,2.1,50.4
277,8.7,2.0,3.1,56.7
278,5.4,2.0,7.3,92.5
279,8.5,0.0,2.2,43.2
280,5.3,2.0,6.4,71.7
281,9.0,0.0,1.9,48.0
282,3.4,2.0,7.7,97.7
283,5.7,2.0,4.7,74.0
284,7.5,1.0,1.3,49.2
285,6.5,3.0,7.5,91.2
286,7.5,1.0,3.5,51.4
287,5.7,3.0,6.1,80.7
288,5.6,2.0,4.7,62.2
289,8.5,1.0,1.6,56.2
290,8.2,0.0,1.7,51.8
291,7.4,1.0,2.0,53.5
292,6.8,0.0,2.1,57.1
293,7.4,1.0,1.4,51.7
294,8.5,0.0,1.3,50.5
295,5.4,3.0,7.6,95.3
296,8.3,0.0,1.6,47.7
297,6.6,2.0,4.6,64.2
298,6.7,0.0,1.8,54.6
299,7.8,2.0,2.5,66.2
300,5.0,2.0,6.3,90.2
301,5.2,4.0,7.6,91.9
302,7.2,2.0,4.3,73.8
303,8.0,0.0,1.0,44.4
304,4.2,3.0,8.0,98.3
305,9.0,2.0,1.3,45.5
306,7.4,2.0,3.7,66.7
307,6.1,1.0,4.8,85.6
308,3.0,3.0,7.2,95.0
309,5.6,3.0,6.8,96.6
310,6.9,1.0,5.3,72.5
311,8.0,2.0,3.8,62.5
312,5.1,2.0,6.8,87.4
313,4.9,3.0,7.1,93.0
314,5.1,3.0,7.1,88.4
315,6.7,2.0,6.0,88.1
316,7.2,1.0,1.7,48.6
317,7.4,1.0,3.1,69.9
318,6.1,2.0,4.4,76.6
319,7.0,2.0,4.5,64.8
320,4.4,3.0,6.8,91.1
321,8.0,2.0,2.7,57.6
322,5.8,2.0,5.7,86.0
323,7.0,1.0,3.6,62.0
324,6.2,3.0,6.4,86.7
325,8.7,1.0,2.4,60.1
326,5.5,2.0,4.3,53.6
327,9.0,1.0,1.7,40.6
328,8.2,1.0,2.5,58.3
329,5.0,3.0,7.5,91.7
330,8.5,1.0,3.2,68.5
331,5.5,3.0,7.3,92.5
332,7.7,2.0,4.7,65.3
333,7.9,0.0,1.3,51.1
334,5.0,3.0,6.6,81.7
335,9.0,1.0,1.4,48.4
336,7.3,3.0,6.8,84.5
337,9.0,1.0,1.1,49.8
338,6.9,2.0,5.7,71.4
339,7.5,1.0,2.2,48.7
340,6.2,1.0,3.4,50.5
341,5.0,3.0,7.7,100.0
342,8.0,2.0,4.4,64.8
343,4.7,3.0,5.6,74.0
344,5.5,3.0,6.2,76.5
345,6.6,1.0,1.8,48.7
346,5.6,2.0,6.9,85.7
347,6.0,3.0,7.4,95.5
348,7.0,1.0,2.1,55.8
349,6.3,2.0,4.8,75.6
350,8.6,1.0,3.0,57.5
351,5.8,3.0,6.2,83.0
352,7.4,1.0,1.2,55.7
353,5.6,2.0,4.6,72.1
354,4.1,2.0,6.5,87.3
355,6.6,3.0,6.1,70.5
356,7.5,0.0,1.8,55.7
357,6.4,3.0,6.8,89.1
358,8.3,2.0,2.7,66.6
359,5.1,3.0,6.7,70.4
360,6.3,1.0,4.5,71.6
361,8.6,2.0,2.1,53.9
362,6.1,3.0,6.1,83.2
363,5.9,3.0,6.7,83.1
364,4.7,2.0,5.9,82.5
365,5.8,3.0,7.8,98.7
366,6.9,1.0,2.8,59.8
367,5.8,1.0,2.7,57.0
368,7.5,2.0,2.0,52.6
369,6.9,2.0,4.8,71.2
370,8.8,1.0,3.8,66.7
371,7.0,1.0,3.5,60.1
372,5.8,3.0,4.2,57.3
373,9.0,2.0,2.9,68.3
374,8.6,0.0,1.0,36.3
375,6.6,2.0,4.3,69.3
376,6.7,1.0,2.9,52.3
377,6.1,2.0,4.1,66.8
378,6.4,2.0,7.5,86.6
379,7.6,1.0,2.3,55.7
380,5.8,2.0,5.5,73.3
381,5.8,2.0,5.5,70.5
382,8.8,1.0,3.0,62.7
383,6.4,2.0,4.3,77.9
384,5.6,4.0,7.8,96.5
385,7.5,1.0,3.4,64.3
386,6.2,3.0,6.0,75.5
387,4.8,2.0,6.9,87.6
388,7.8,2.0,3.5,67.0
389,6.3,4.0,7.9,91.2
390,6.3,1.0,5.4,83.0
391,6.0,2.0,4.5,71.0
392,5.0,3.0,6.0,83.9
393,7.2,1.0,4.0,64.8
394,5.8,2.0,6.0,78.8
395,7.5,1.0,2.9,61.4
396,5.3,2.0,7.5,94.6
397,5.4,2.0,4.8,75.4
398,8.3,1.0,2.7,52.5
399,7.1,2.0,4.1,64.0
400,5.3,2.0,7.3,90.7
401,5.9,3.0,6.6,74.8
402,7.5,2.0,4.4,76.8
403,7.3,2.0,3.5,66.1
404,6.5,2.0,3.6,65.2
405,6.0,3.0,7.9,90.7
406,7.8,1.0,1.8,57.2
407,4.8,2.0,7.2,88.5
408,4.3,2.0,7.0,100.0
409,7.7,1.0,2.6,60.3
410,6.5,1.0,3.4,54.6
411,6.1,2.0,5.0,79.1
412,6.1,2.0,6.6,82.7
413,5.2,3.0,7.7,90.5
414,5.9,2.0,7.9,93.5
415,7.7,0.0,3.0,59.9
416,7.5,2.0,2.3,57.3
417,6.5,2.0,4.4,75.1
418,6.1,3.0,4.9,76.7
419,6.7,3.0,5.6,74.5
420,8.1,0.0,1.8,44.2
421,5.9,1.0,5.5,73.3
422,6.0,4.0,7.4,93.6
423,5.4,3.0,7.4,96.7
424,4.8,2.0,7.6,100.0
425,4.0,3.0,7.5,84.1
426,5.5,3.0,7.7,94.0
427,8.5,0.0,1.3,47.4
428,5.3,3.0,7.4,89.0
429,7.2,1.0,2.9,60.8
430,6.7,1.0,3.2,60.6
431,6.7,2.0,4.2,67.5
432,5.3,3.0,7.7,89.7
433,6.3,2.0,5.2,78.4
434,7.1,2.0,3.5,70.5
435,6.8,2.0,3.6,74.6
436,5.6,3.0,7.3,87.6
437,5.8,3.0,6.8,80.9
438,7.4,1.0,2.0,52.1
439,8.3,1.0,2.7,53.5
440,7.8,2.0,3.6,71.0
441,8.4,0.0,2.5,52.2
442,6.4,2.0,4.9,74.4
443,7.5,1.0,2.6,49.8
444,5.6,2.0,5.0,72.5
445,5.8,3.0,7.6,94.0
446,3.8,2.0,6.9,97.1
447,7.8,1.0,1.7,47.4
448,7.5,0.0,2.4,58.7
449,7.7,2.0,3.9,54.5
450,6.2,2.0,5.5,70.9
451,6.4,1.0,3.7,60.7
452,6.5,1.0,2.8,56.2
453,6.7,2.0,3.4,66.0
454,7.9,2.0,2.4,60.2
455,5.5,3.0,7.0,79.0
456,5.9,2.0,5.9,84.1
457,6.5,1.0,3.9,60.2
458,5.9,3.0,5.9,91.9
459,7.5,1.0,4.6,73.7
460,5.8,2.0,4.7,73.4
461,7.2,1.0,3.6,63.8
462,8.1,1.0,4.4,70.2
463,5.5,4.0,7.9,94.9
464,5.4,3.0,6.5,81.0
465,6.1,3.0,6.8,91.7
466,7.4,1.0,1.9,54.5
467,6.8,2.0,4.5,75.6
468,8.4,2.0,3.6,64.5
469,9.0,1.0,1.6,54.9
470,5.7,1.0,3.8,61.7
471,8.8,0.0,1.5,71.5
472,9.0,2.0,2.6,53.6
473,5.3,2.0,6.6,83.1
474,6.3,2.0,5.8,86.0
475,7.3,2.0,5.9,88.3
476,7.8,1.0,1.6,46.0
477,8.3,1.0,2.1,44.3
478,8.4,1.0,1.2,39.6
479,6.6,0.0,1.7,45.6
480,8.4,0.0,1.7,46.8
481,5.0,3.0,7.7,92.5
482,6.1,2.0,7.3,96.9
483,9.0,1.0,2.4,62.9
484,8.1,1.0,2.8,55.5
485,4.9,3.0,7.7,96.7
486,6.9,1.0,5.0,79.9
487,7.4,1.0,3.6,73.2
488,7.7,2.0,4.3,68.8
489,6.4,1.0,2.9,55.4
490,5.5,2.0,5.1,79.8
491,4.3,3.0,6.1,91.4
492,7.2,2.0,4.6,68.7
493,5.6,2.0,6.7,98.2
494,7.6,1.0,1.8,62.5
495,5.8,2.0,5.2,74.4
496,4.6,3.0,7.9,85.5
497,7.3,1.0,2.0,50.0
498,6.5,1.0,4.5,69.0
499,5.9,2.0,5.4,80.6
500,8.4,1.0,3.4,53.4
